load_ts,time,user
2022-12-03 09:19:00.000,00:01:38,Stokey
2022-12-03 10:23:00.000,00:01:03,AngeloMysterioso
2022-12-03 13:08:00.000,00:01:18,UmbilicusProfundus
2022-12-03 15:18:00.000,00:01:02,Readytostartagain
2022-12-03 15:52:00.000,00:01:41,oviraptor21
2022-12-03 17:28:00.000,00:06:27,hoochyhag
2022-12-04 00:21:00.000,00:01:31,Floralnomad
2022-12-04 00:42:00.000,00:01:19,Sunbird24
2022-12-04 08:10:00.000,00:01:08,JoyDivisionOvenGlovesx
2022-12-04 08:10:00.000,00:02:37,Hepzibar
2022-12-04 08:11:00.000,00:06:44,BrilliantGreenFlamingo
2022-12-04 08:31:00.000,00:04:52,DadDadDad
2022-12-04 09:38:00.000,00:04:55,oviraptor21
2022-12-04 09:56:00.000,00:02:09,Stokey
2022-12-04 21:19:00.000,00:01:23,MarmiteWine
2022-12-05 00:20:00.000,00:01:21,Drywhitefruitycidergin
2022-12-05 00:29:00.000,00:00:28,Sunbird24
2022-12-05 01:13:00.000,00:01:13,Floralnomad
2022-12-05 05:23:00.000,00:00:46,JoyDivisionOvenGlovesx
2022-12-05 07:13:00.000,00:01:12,DadDadDad
2022-12-05 07:49:00.000,00:00:51,UmbilicusProfundus
2022-12-05 08:21:00.000,00:00:53,Readytostartagain
2022-12-05 08:59:00.000,00:00:58,MarmiteWine
2022-12-05 09:08:00.000,00:00:45,oviraptor21
2022-12-05 13:57:00.000,00:01:26,Stokey
2022-12-05 20:58:00.000,00:00:49,Hepzibar
2022-12-06 00:17:00.000,00:01:08,Floralnomad
2022-12-06 02:48:00.000,00:00:34,Sunbird24
2022-12-06 06:33:00.000,00:00:44,JoyDivisionOvenGlovesx
2022-12-06 07:14:00.000,00:01:58,DadDadDad
2022-12-06 07:39:00.000,00:01:48,oviraptor21
2022-12-06 08:15:00.000,00:01:13,Readytostartagain
2022-12-06 08:47:00.000,00:02:01,Drywhitefruitycidergin
2022-12-06 19:53:00.000,00:02:50,Hepzibar
2022-12-06 20:59:00.000,00:01:25,Stokey
2022-12-06 22:39:00.000,00:01:03,MarmiteWine
2022-12-07 00:18:00.000,00:01:44,Drywhitefruitycidergin
2022-12-07 01:11:00.000,00:01:10,Floralnomad
2022-12-07 02:03:00.000,00:00:41,Sunbird24
2022-12-07 07:12:00.000,00:00:39,DadDadDad
2022-12-07 07:41:00.000,00:00:53,Stokey
2022-12-07 07:47:00.000,00:00:48,JoyDivisionOvenGlovesx
2022-12-07 07:54:00.000,00:01:24,oviraptor21
2022-12-07 08:15:00.000,00:00:57,Readytostartagain
2022-12-07 20:12:00.000,00:02:24,Hepzibar
2022-12-07 20:19:00.000,00:01:25,MarmiteWine
2022-12-08 01:34:00.000,00:00:51,Sunbird24
2022-12-08 06:30:00.000,00:01:44,Hepzibar
2022-12-08 07:08:00.000,00:01:57,oviraptor21
2022-12-08 07:21:00.000,00:02:06,DadDadDad
2022-12-08 08:27:00.000,00:01:57,Readytostartagain
2022-12-08 08:48:00.000,00:02:06,Swissnotswiss
2022-12-08 09:31:00.000,00:03:08,LikeTearsInRain
2022-12-08 10:09:00.000,00:02:41,Floralnomad
2022-12-08 21:16:00.000,00:01:28,MarmiteWine
2022-12-09 00:20:00.000,00:02:25,Drywhitefruitycidergin
2022-12-09 00:43:00.000,00:01:27,Floralnomad
2022-12-09 04:08:00.000,00:00:46,Sunbird24
2022-12-09 06:59:00.000,00:02:16,Hepzibar
2022-12-09 07:16:00.000,00:01:47,oviraptor21
2022-12-09 07:46:00.000,00:01:20,Stokey
2022-12-09 08:06:00.000,00:01:25,bruffin
2022-12-09 08:08:00.000,00:04:43,DadDadDad
2022-12-09 08:23:00.000,00:01:19,Readytostartagain
2022-12-09 08:24:00.000,00:02:29,Swissnotswiss
2022-12-09 11:31:00.000,00:00:57,JoyDivisionOvenGlovesx
2022-12-09 14:50:00.000,00:00:25,BrilliantGreenFlamingo
2022-12-09 22:05:00.000,00:01:12,MarmiteWine
2022-12-10 02:25:00.000,00:01:51,Drywhitefruitycidergin
2022-12-10 07:00:00.000,00:01:53,Swissnotswiss
2022-12-10 07:46:00.000,00:01:36,Hepzibar
2022-12-10 08:14:00.000,00:01:11,Sunbird24
2022-12-10 08:14:00.000,00:02:36,BrilliantGreenFlamingo
2022-12-10 08:19:00.000,00:01:52,oviraptor21
2022-12-10 08:23:00.000,00:01:26,JoyDivisionOvenGlovesx
2022-12-10 08:27:00.000,00:02:39,LikeTearsInRain
2022-12-10 09:14:00.000,00:01:23,Stokey
2022-12-10 09:28:00.000,00:02:03,Readytostartagain
2022-12-10 09:37:00.000,00:01:59,DadDadDad
2022-12-10 11:54:00.000,00:00:59,MarmiteWine
2022-12-10 17:16:00.000,00:06:20,hoochyhag
2022-12-11 00:04:00.000,00:00:46,Sunbird24
2022-12-11 07:49:00.000,00:02:27,Hepzibar
2022-12-11 08:05:00.000,00:01:05,oviraptor21
2022-12-11 08:28:00.000,00:01:36,Readytostartagain
2022-12-11 09:16:00.000,00:01:07,JoyDivisionOvenGlovesx
2022-12-11 09:49:00.000,00:01:43,Stokey
2022-12-11 10:04:00.000,00:02:50,DadDadDad
2022-12-11 11:21:00.000,00:02:25,Floralnomad
2022-12-11 12:42:00.000,00:01:18,MarmiteWine
2022-12-11 13:47:00.000,00:05:01,LikeTearsInRain
2022-12-11 21:10:00.000,00:03:08,Drywhitefruitycidergin
2022-12-12 03:28:00.000,00:00:55,Sunbird24
2022-12-12 06:28:00.000,00:01:48,JoyDivisionOvenGlovesx
2022-12-12 07:33:00.000,00:02:39,DadDadDad
2022-12-12 09:12:00.000,00:02:11,MarmiteWine
