_id,load_ts,time,user
6410faa20e05a672f8a34e10,2023-03-14T22:52:18.170Z,03:53,Sazzle
6411790d2e23ec471aede83d,2023-03-15T07:51:41.725Z,02:42,Tom
641192832e23ec471aede841,2023-03-15T09:40:19.582Z,01:12,Joe
6411985c2e23ec471aede845,2023-03-15T10:05:16.083Z,02:50,Harvey Williams
6411c2f72e23ec471aede848,2023-03-15T13:07:03.182Z,01:54,Oliver Folkard
641215502e23ec471aede84b,2023-03-15T18:58:24.224Z,06:47,Sazzle
6412bc9c0e05a672f8a34e1a,2023-03-16T06:52:12.936Z,02:50,Tom
6412dc740e05a672f8a34e1c,2023-03-16T09:08:04.176Z,00:53,Joe
6412e0f20e05a672f8a34e1e,2023-03-16T09:27:14.281Z,03:31,Leah
64136abd0e05a672f8a34e21,2023-03-16T19:15:09.641Z,01:56,Harvey Williams
64136e0d0e05a672f8a34e24,2023-03-16T19:29:17.008Z,01:39,George Sheen
6413900e2e23ec471aede85b,2023-03-16T21:54:22.712Z,00:53,Oliver Folkard
6413938e2e23ec471aede860,2023-03-16T22:09:18.073Z,05:40,Sazzle
641430450e05a672f8a34e27,2023-03-17T09:17:57.794Z,01:25,Tom
641444692e23ec471aede866,2023-03-17T10:43:53.587Z,02:11,Oliver Folkard
6414466f0e05a672f8a34e2b,2023-03-17T10:52:31.289Z,02:22,Harvey Williams
641446fa0e05a672f8a34e2e,2023-03-17T10:54:50.916Z,12:26,Leah
641451140e05a672f8a34e32,2023-03-17T11:37:56.723Z,01:09,Joe
641574ac2e23ec471aede86e,2023-03-18T08:22:04.134Z,03:44,Tom
6415761b2e23ec471aede872,2023-03-18T08:28:11.992Z,07:05,Leah
641590512e23ec471aede878,2023-03-18T10:20:01.010Z,01:02,Joe
6415a3a02e23ec471aede87d,2023-03-18T11:42:24.407Z,03:03,Harvey Williams
64163fe20e05a672f8a34e3a,2023-03-18T22:49:06.238Z,04:18,Sazzle
6416530c0e05a672f8a34e3e,2023-03-19T00:10:52.633Z,02:59,Tom
641717f90e05a672f8a34e43,2023-03-19T14:11:05.508Z,01:48,Harvey Williams
641718e62e23ec471aede883,2023-03-19T14:15:02.938Z,01:10,Oliver Folkard
641722a30e05a672f8a34e47,2023-03-19T14:56:35.786Z,00:55,Joe
641746462e23ec471aede887,2023-03-19T17:28:38.704Z,04:01,Sazzle
641825aa0e05a672f8a34e4f,2023-03-20T09:21:46.151Z,05:14,Tom
641844642e23ec471aede88b,2023-03-20T11:32:52.631Z,01:46,Joe
64186cdb0e05a672f8a34e52,2023-03-20T14:25:31.864Z,01:47,Oliver Folkard
641872ef0e05a672f8a34e55,2023-03-20T14:51:27.303Z,05:55,Harvey Williams
641874b20e05a672f8a34e58,2023-03-20T14:58:58.970Z,03:34,George Sheen
64195e8d0e05a672f8a34e5c,2023-03-21T07:36:45.902Z,02:03,Tom
64195fcd0e05a672f8a34e60,2023-03-21T07:42:05.623Z,04:38,Leah
64196aba0e05a672f8a34e64,2023-03-21T08:28:42.502Z,00:51,Joe
6419af290e05a672f8a34e68,2023-03-21T13:20:41.892Z,00:44,Oliver Folkard
6419bfd20e05a672f8a34e6b,2023-03-21T14:31:46.987Z,01:35,Harvey Williams
6419dcfe2e23ec471aede89c,2023-03-21T16:36:14.569Z,00:38,George Sheen
641a06010e05a672f8a34e6f,2023-03-21T19:31:13.064Z,03:44,Sazzle
