load_ts,user,time
2022-12-04 21:19:00.000,MarmiteWine,00:01:23
2022-12-05 00:20:00.000,Drywhitefruitycidergin,00:01:21
2022-12-05 00:29:00.000,Sunbird24,00:00:28
2022-12-05 01:13:00.000,Floralnomad,00:01:13
2022-12-05 05:23:00.000,JoyDivisionOvenGlovesx,00:00:46
2022-12-05 07:13:00.000,DadDadDad,00:01:12
2022-12-05 07:49:00.000,UmbilicusProfundus,00:00:51
2022-12-05 08:21:00.000,Readytostartagain,00:00:53
2022-12-05 08:59:00.000,MarmiteWine,00:00:58
2022-12-05 09:08:00.000,oviraptor21,00:00:45
2022-12-05 13:57:00.000,Stokey,00:01:26
2022-12-05 20:58:00.000,Hepzibar,00:00:49
2022-12-06 00:17:00.000,Floralnomad,00:01:08
2022-12-06 02:48:00.000,Sunbird24,00:00:34
2022-12-06 06:33:00.000,JoyDivisionOvenGlovesx,00:00:44
2022-12-06 07:14:00.000,DadDadDad,00:01:58
2022-12-06 07:39:00.000,oviraptor21,00:01:48
2022-12-06 08:15:00.000,Readytostartagain,00:01:13
2022-12-06 08:47:00.000,Drywhitefruitycidergin,00:02:01
2022-12-06 19:53:00.000,Hepzibar,00:02:50
2022-12-06 20:59:00.000,Stokey,00:01:25
2022-12-06 22:39:00.000,MarmiteWine,00:01:03
2022-12-07 00:18:00.000,Drywhitefruitycidergin,00:01:44
2022-12-07 01:11:00.000,Floralnomad,00:01:10
2022-12-07 02:03:00.000,Sunbird24,00:00:41
2022-12-07 07:12:00.000,DadDadDad,00:00:39
2022-12-07 07:41:00.000,Stokey,00:00:53
2022-12-07 07:47:00.000,JoyDivisionOvenGlovesx,00:00:48
2022-12-07 07:54:00.000,oviraptor21,00:01:24
2022-12-07 08:15:00.000,Readytostartagain,00:00:57
2022-12-07 20:12:00.000,Hepzibar,00:02:24
2022-12-07 20:19:00.000,MarmiteWine,00:01:25
2022-12-08 01:34:00.000,Sunbird24,00:00:51
2022-12-08 06:30:00.000,Hepzibar,00:01:44
2022-12-08 07:08:00.000,oviraptor21,00:01:57
2022-12-08 07:21:00.000,DadDadDad,00:02:06
2022-12-08 08:27:00.000,Readytostartagain,00:01:57
2022-12-08 08:48:00.000,Swissnotswiss,00:02:06
2022-12-08 09:31:00.000,LikeTearsInRain,00:03:08
2022-12-08 10:09:00.000,Floralnomad,00:02:41
2022-12-08 21:16:00.000,MarmiteWine,00:01:28
2022-12-09 00:20:00.000,Drywhitefruitycidergin,00:02:25
2022-12-09 00:43:00.000,Floralnomad,00:01:27
2022-12-09 04:08:00.000,Sunbird24,00:00:46
2022-12-09 06:59:00.000,Hepzibar,00:02:16
2022-12-09 07:16:00.000,oviraptor21,00:01:47
2022-12-09 07:46:00.000,Stokey,00:01:20
2022-12-09 08:06:00.000,bruffin,00:01:25
2022-12-09 08:08:00.000,DadDadDad,00:04:43
2022-12-09 08:23:00.000,Readytostartagain,00:01:19
2022-12-09 08:24:00.000,Swissnotswiss,00:02:29
2022-12-09 11:31:00.000,JoyDivisionOvenGlovesx,00:00:57
2022-12-09 14:50:00.000,BrilliantGreenFlamingo,00:00:25
2022-12-09 22:05:00.000,MarmiteWine,00:01:12
2022-12-10 02:25:00.000,Drywhitefruitycidergin,00:01:51
2022-12-10 07:00:00.000,Swissnotswiss,00:01:53
2022-12-10 07:46:00.000,Hepzibar,00:01:36
2022-12-10 08:14:00.000,Sunbird24,00:01:11
2022-12-10 08:14:00.000,BrilliantGreenFlamingo,00:02:36
2022-12-10 08:19:00.000,oviraptor21,00:01:52
2022-12-10 08:23:00.000,JoyDivisionOvenGlovesx,00:01:26
2022-12-10 08:27:00.000,LikeTearsInRain,00:02:39
2022-12-10 09:14:00.000,Stokey,00:01:23
2022-12-10 09:28:00.000,Readytostartagain,00:02:03
2022-12-10 09:37:00.000,DadDadDad,00:01:59
2022-12-10 11:54:00.000,MarmiteWine,00:00:59
2022-12-10 17:16:00.000,hoochyhag,00:06:20
2022-12-11 00:04:00.000,Sunbird24,00:00:46
2022-12-11 07:49:00.000,Hepzibar,00:02:27
2022-12-11 08:05:00.000,oviraptor21,00:01:05
2022-12-11 08:28:00.000,Readytostartagain,00:01:36
